Elapsed_ms,Direction,SrcIP,DstIP,SrcPort,DstPort,DataLen,Data,RTT_ms,Status
63.931,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",2.147,0
66.230,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
66.230,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",2.298,0
68.210,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
68.210,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.979,0
70.527,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
70.527,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",2.317,0
72.024,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
72.024,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.496,0
74.342,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
74.342,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",2.317,0
76.356,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
76.356,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",2.009,0
78.490,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
78.490,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",2.130,0
80.434,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
80.434,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.943,0
86.013,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
86.013,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",5.577,0
87.960,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
87.960,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.947,0
89.784,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
89.784,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.822,0
91.738,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
91.738,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.953,0
93.530,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
93.530,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.791,0
95.499,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
95.499,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.968,0
97.453,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
97.453,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.953,0
99.396,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
99.396,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.943,0
101.364,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
101.364,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.967,0
103.331,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
103.331,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.966,0
105.308,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
105.308,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.976,0
107.259,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
107.259,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.949,0
109.056,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
109.056,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.796,0
111.014,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
111.014,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.957,0
112.810,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
112.810,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.795,0
114.614,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
114.614,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.804,0
116.577,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
116.577,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.961,0
118.567,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
118.567,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.989,0
120.526,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
120.526,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.958,0
122.528,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
122.528,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",2.001,0
124.489,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
124.489,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.960,0
126.474,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
126.474,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.984,0
128.427,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
128.427,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.953,0
130.410,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
130.410,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.982,0
132.368,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
132.368,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.957,0
134.342,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
134.342,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.973,0
136.311,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
136.311,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.968,0
138.463,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
138.463,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",2.152,0
140.419,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
140.419,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.955,0
142.413,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
142.413,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.992,0
144.365,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
144.365,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.951,0
146.355,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
146.355,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.990,0
148.308,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
148.308,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.952,0
150.299,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
150.299,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.991,0
152.260,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
152.260,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.960,0
154.256,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
154.256,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.995,0
156.208,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
156.208,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.951,0
158.372,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
158.372,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",2.163,0
160.328,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
160.328,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.955,0
162.362,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
162.362,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",2.033,0
164.161,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
164.161,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.799,0
166.471,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
166.471,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",2.309,0
168.442,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
168.442,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.970,0
170.431,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
170.431,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.989,0
172.389,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
172.389,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.956,0
174.387,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
174.387,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.998,0
176.351,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
176.351,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.964,0
178.335,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
178.335,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.983,0
180.307,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
180.307,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.971,0
182.293,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
182.293,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.986,0
184.248,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
184.248,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.954,0
186.413,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
186.413,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",2.164,0
188.366,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
188.366,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.952,0
190.352,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
190.352,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.985,0
192.141,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
192.141,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.789,0
194.297,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
194.297,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",2.155,0
196.257,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
196.257,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.959,0
198.411,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
198.411,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",2.153,0
200.386,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
200.386,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.974,0
202.375,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
202.375,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.989,0
204.331,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
204.331,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.955,0
206.316,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
206.316,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.984,0
208.274,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
208.274,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.958,0
210.277,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
210.277,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",2.002,0
212.237,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
212.237,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.958,0
214.375,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
214.375,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",2.137,0
216.177,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
216.177,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.801,0
218.177,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
218.177,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.998,0
220.136,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
220.136,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.959,0
222.117,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
